U1,U2,T(k-1),C(k-1)
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
0.9,13.5,393.21,0.24988
1.1,16.5,393.21,0.24988
1.1,16.5,393.21,0.24988
1.1,16.5,390.81,0.2839
1.1,16.5,389.96,0.31095
1.1,16.5,390.53,0.32541
1.1,16.5,392.27,0.32394
1.1,16.5,394.75,0.30668
1.1,16.5,397.12,0.2797
1.1,16.5,398.31,0.25519
1.1,16.5,397.8,0.24396
1.1,16.5,396.16,0.24775
1.1,16.5,394.34,0.26133
1.1,16.5,392.99,0.27801
1.1,16.5,392.39,0.29223
1.1,16.5,392.58,0.30019
1.1,16.5,393.41,0.30004
1.1,16.5,394.59,0.29234
1.1,16.5,395.68,0.28034
1.1,16.5,396.26,0.26907
1.1,16.5,396.15,0.26289
1.1,16.5,395.5,0.26331
1.1,16.5,394.65,0.2689
1.1,16.5,393.94,0.2768
1.1,16.5,393.58,0.28404
1.1,16.5,393.62,0.28839
1.1,16.5,393.99,0.28877
1.1,16.5,394.54,0.28546
1.1,16.5,395.06,0.28002
1.1,16.5,395.37,0.27467
1.1,16.5,395.36,0.27138
1.1,16.5,395.1,0.27105
1.1,16.5,394.71,0.27331
1.1,16.5,394.35,0.27697
1.1,16.5,394.15,0.28056
1.1,16.5,394.14,0.28289
1.1,16.5,394.3,0.28333
1.1,16.5,394.55,0.28196
1.1,16.5,394.81,0.27949
1.1,16.5,394.96,0.27693
1.1,16.5,394.98,0.27521
1.1,16.5,394.88,0.27483
1.1,16.5,394.7,0.27573
1.1,16.5,394.52,0.27739
1.1,16.5,394.41,0.27914
1.1,16.5,394.39,0.28036
1.1,16.5,394.46,0.2807
1.1,16.5,394.58,0.28016
1.1,16.5,394.7,0.27905
1.1,16.5,394.78,0.27782
1.1,16.5,394.8,0.27694
1.1,16.5,394.76,0.27666
1.1,16.5,394.68,0.277
1.1,16.5,394.59,0.27774
1.1,16.5,394.53,0.27858
1.1,16.5,394.52,0.27921
1.1,16.5,394.54,0.27944
1.1,16.5,394.6,0.27924
1.1,16.5,394.66,0.27874
1.1,16.5,394.7,0.27816
1.1,16.5,394.71,0.27771
0.9,13.5,394.7,0.27753
0.9,13.5,394.66,0.27765
0.9,13.5,397.35,0.24282
0.9,13.5,398.16,0.21698
0.9,13.5,397.03,0.20853
0.9,13.5,394.98,0.21495
0.9,13.5,392.98,0.22951
0.9,13.5,391.56,0.24609
0.9,13.5,390.88,0.26029
0.9,13.5,390.93,0.26924
0.9,13.5,391.57,0.27156
0.9,13.5,392.56,0.26744
0.9,13.5,393.59,0.25883
0.9,13.5,394.35,0.24895
0.9,13.5,394.63,0.2412
0.9,13.5,394.42,0.23763
0.9,13.5,393.89,0.23842
0.9,13.5,393.27,0.24234
0.9,13.5,392.77,0.24758
0.9,13.5,392.49,0.25244
0.9,13.5,392.46,0.25568
0.9,13.5,392.65,0.25671
0.9,13.5,392.96,0.25562
0.9,13.5,393.28,0.25307
0.9,13.5,393.53,0.25005
0.9,13.5,393.64,0.24755
0.9,13.5,393.6,0.24621
0.9,13.5,393.45,0.2462
0.9,13.5,393.26,0.24725
0.9,13.5,393.1,0.24885
0.9,13.5,392.99,0.25044
0.9,13.5,392.97,0.25157
0.9,13.5,393.02,0.25201
0.9,13.5,393.11,0.25176
0.9,13.5,393.22,0.25102
0.9,13.5,393.3,0.25009
0.9,13.5,393.34,0.24927
0.9,13.5,393.33,0.24879
0.9,13.5,393.29,0.24871
0.9,13.5,393.24,0.24899
0.9,13.5,393.18,0.24947
0.9,13.5,393.14,0.24998
0.9,13.5,393.13,0.25036
0.9,13.5,393.14,0.25054
0.9,13.5,393.17,0.2505
0.9,13.5,393.2,0.25028
0.9,13.5,393.23,0.25
0.9,13.5,393.25,0.24973
0.9,13.5,393.25,0.24956
0.9,13.5,393.24,0.24952
0.9,13.5,393.22,0.24958
0.9,13.5,393.2,0.24973
0.9,13.5,393.19,0.24989
0.9,13.5,393.18,0.25002
0.9,13.5,393.19,0.25008
0.9,13.5,393.19,0.25008
0.9,13.5,393.2,0.25002
0.9,13.5,393.21,0.24994
0.9,13.5,393.22,0.24985
0.9,13.5,393.22,0.24979
1.1,16.5,393.22,0.24977
1.1,16.5,393.21,0.24979
1.1,16.5,390.8,0.28384
1.1,16.5,389.95,0.31094
1.1,16.5,390.52,0.32544
1.1,16.5,392.27,0.32401
1.1,16.5,394.75,0.30676
1.1,16.5,397.12,0.27977
1.1,16.5,398.31,0.2552
1.1,16.5,397.81,0.24393
1.1,16.5,396.17,0.2477
1.1,16.5,394.34,0.26128
1.1,16.5,392.99,0.27797
1.1,16.5,392.39,0.29222
1.1,16.5,392.58,0.3002
1.1,16.5,393.41,0.30007
1.1,16.5,394.58,0.29238
1.1,16.5,395.67,0.28037
1.1,16.5,396.26,0.26908
1.1,16.5,396.15,0.26288
1.1,16.5,395.5,0.26328
1.1,16.5,394.65,0.26888
1.1,16.5,393.94,0.27678
1.1,16.5,393.58,0.28403
1.1,16.5,393.62,0.28839
1.1,16.5,393.99,0.28878
1.1,16.5,394.54,0.28548
1.1,16.5,395.06,0.28003
1.1,16.5,395.37,0.27467
1.1,16.5,395.36,0.27137
1.1,16.5,395.1,0.27104
1.1,16.5,394.71,0.2733
1.1,16.5,394.35,0.27696
1.1,16.5,394.15,0.28055
1.1,16.5,394.14,0.28289
1.1,16.5,394.3,0.28333
1.1,16.5,394.55,0.28197
1.1,16.5,394.81,0.2795
1.1,16.5,394.96,0.27693
1.1,16.5,394.98,0.27521
1.1,16.5,394.88,0.27483
1.1,16.5,394.7,0.27572
1.1,16.5,394.52,0.27739
1.1,16.5,394.41,0.27914
1.1,16.5,394.39,0.28036
1.1,16.5,394.46,0.2807
1.1,16.5,394.58,0.28017
1.1,16.5,394.7,0.27905
1.1,16.5,394.78,0.27782
1.1,16.5,394.8,0.27694
1.1,16.5,394.76,0.27666
1.1,16.5,394.68,0.27699
1.1,16.5,394.59,0.27774
1.1,16.5,394.53,0.27858
1.1,16.5,394.52,0.27921
1.1,16.5,394.54,0.27944
1.1,16.5,394.6,0.27924
1.1,16.5,394.66,0.27874
1.1,16.5,394.7,0.27816
1.1,16.5,394.71,0.27771
0.9,13.5,394.7,0.27753
0.9,13.5,394.66,0.27765
0.9,13.5,397.35,0.24282
0.9,13.5,398.16,0.21698
0.9,13.5,397.03,0.20853
0.9,13.5,394.98,0.21495
0.9,13.5,392.98,0.22951
0.9,13.5,391.56,0.24609
0.9,13.5,390.88,0.26029
0.9,13.5,390.93,0.26924
0.9,13.5,391.57,0.27156
0.9,13.5,392.56,0.26744
0.9,13.5,393.59,0.25883
0.9,13.5,394.35,0.24895
0.9,13.5,394.63,0.2412
0.9,13.5,394.42,0.23763
0.9,13.5,393.89,0.23842
0.9,13.5,393.27,0.24234
0.9,13.5,392.77,0.24758
0.9,13.5,392.49,0.25244
1.1,16.5,392.46,0.25568
1.1,16.5,392.65,0.25671
1.1,16.5,390.56,0.28971
1.1,16.5,390,0.31454
1.1,16.5,390.81,0.32604
1.1,16.5,392.73,0.32142
1.1,16.5,395.24,0.30176
1.1,16.5,397.45,0.27443
1.1,16.5,398.3,0.25204
1.1,16.5,397.52,0.2439
1.1,16.5,395.8,0.25002
1.1,16.5,394.04,0.26457
1.1,16.5,392.83,0.28103
1.1,16.5,392.39,0.2942
1.1,16.5,392.71,0.30063
