C,T
0.2795,394.81
0.27693,394.96
0.27521,394.98
0.27483,394.88
0.27572,394.7
0.27739,394.52
0.27914,394.41
0.28036,394.39
0.2807,394.46
0.28017,394.58
0.27905,394.7
0.27782,394.78
0.27694,394.8
0.27666,394.76
0.27699,394.68
0.27774,394.59
0.27858,394.53
0.27921,394.52
0.27944,394.54
0.27924,394.6
0.27874,394.66
0.27816,394.7
0.27771,394.71
0.27753,394.7
0.27765,394.66
0.24282,397.35
0.21698,398.16
0.20853,397.03
0.21495,394.98
0.22951,392.98
0.24609,391.56
0.26029,390.88
0.26924,390.93
0.27156,391.57
0.26744,392.56
0.25883,393.59
0.24895,394.35
0.2412,394.63
0.23763,394.42
0.23842,393.89
0.24234,393.27
0.24758,392.77
0.25244,392.49
0.25568,392.46
0.25671,392.65
0.28971,390.56
0.31454,390
0.32604,390.81
0.32142,392.73
0.30176,395.24
0.27443,397.45
0.25204,398.3
0.2439,397.52
0.25002,395.8
0.26457,394.04
0.28103,392.83
0.2942,392.39
0.30063,392.71
0.29892,393.63
0.29014,394.81
0.27797,395.83
0.26749,396.28
0.26259,396.05
0.26416,395.33
0.27039,394.5
0.27831,393.85
0.28509,393.57
0.28869,393.67
0.28831,394.09
0.28448,394.65
0.27891,395.14
0.27387,395.38
0.27114,395.32
0.27136,395.02
0.27398,394.63
0.27771,394.3
0.28111,394.13
0.28309,394.16
0.28315,394.34
0.28152,394.61
0.27897,394.84
0.27653,394.98
0.27505,394.97
0.27494,394.84
0.27602,394.66
0.24264,397.21
0.21806,397.96
0.21006,396.87
0.2163,394.9
0.23036,392.97
0.24638,391.6
0.26006,390.96
0.26865,391.01
0.27079,391.63
0.26673,392.59
0.25838,393.59
0.24887,394.32
0.24144,394.58
0.23805,394.37
0.23885,393.86
0.24265,393.27
0.24771,392.78
0.25239,392.51
0.2555,392.49
0.25647,392.67
0.25539,392.97
0.25292,393.29
0.25001,393.52
0.24761,393.62
0.24633,393.58
0.24633,393.44
0.24736,393.26
0.2489,393.1
0.25043,393
0.25152,392.98
0.25194,393.03
0.25169,393.12
0.25097,393.22
0.25007,393.3
0.24929,393.33
0.24882,393.33
0.24875,393.29
0.24902,393.23
0.24949,393.18
0.24998,393.15
0.25035,393.13
0.25052,393.15
0.25047,393.17
0.25027,393.2
0.24999,393.23
0.24974,393.25
0.24957,393.25
0.24953,393.24
0.2496,393.22
0.24973,393.2
0.24989,393.19
0.25001,393.18
0.25008,393.19
0.25007,393.19
0.25002,393.2
0.24993,393.21
0.24985,393.22
0.24979,393.22
0.24977,393.22
0.24979,393.21
0.28385,390.8
0.31094,389.95
0.32544,390.52
0.32401,392.27
0.30676,394.75
0.27976,397.12
0.2552,398.31
0.24393,397.81
0.2477,396.17
0.26128,394.34
0.27797,392.99
0.29222,392.39
0.3002,392.58
0.30007,393.41
0.29238,394.58
0.28037,395.67
0.26908,396.26
0.26288,396.15
0.26328,395.5
0.26888,394.65
0.24193,396.6
0.22284,397.07
0.21697,396.13
0.22245,394.52
0.23431,392.94
0.24773,391.82
0.25904,391.31
0.2659,391.39
0.26726,391.94
0.26349,392.76
0.25635,393.58
0.24851,394.16
0.24256,394.35
0.23998,394.15
0.24083,393.72
0.2441,393.23
0.24835,392.83
0.25221,392.62
0.25469,392.61
0.25537,392.77
0.25436,393.03
0.25224,393.29
0.24983,393.48
0.24788,393.56
0.24689,393.52
0.24696,393.39
0.24785,393.24
0.24916,393.11
0.25042,393.03
0.25129,393.02
0.2516,393.06
0.25136,393.14
0.25074,393.22
0.24999,393.28
0.24935,393.31
0.24899,393.31
0.24895,393.27
0.24919,393.23
0.24958,393.18
0.24999,393.15
0.2843,390.75
0.3115,389.91
0.32595,390.5
0.32434,392.27
0.30678,394.77
0.27946,397.17
0.25474,398.35
0.24355,397.82
0.24754,396.16
0.26133,394.32
0.27817,392.96
0.29249,392.37
0.30045,392.57
0.30022,393.41
0.29238,394.6
0.28024,395.69
0.26888,396.28
0.2627,396.16
