C,T
2.458834E-01,3.935133E+02
2.791465E-01,3.90837E+02
3.101606E-01,3.897504E+02
3.267963E-01,3.901951E+02
3.275028E-01,3.918992E+02
3.105883E-01,3.944301E+02
2.828776E-01,3.969355E+02
2.573211E-01,3.983438E+02
2.441861E-01,3.980944E+02
2.425568E-01,3.96343E+02
2.588691E-01,3.94156E+02
2.782598E-01,3.925361E+02
2.959306E-01,3.918166E+02
3.065188E-01,3.920903E+02
3.064852E-01,3.932274E+02
2.955738E-01,3.94859E+02
2.77701E-01,3.963175E+02
2.628179E-01,3.969496E+02
2.563225E-01,3.965868E+02
2.581745E-01,3.955039E+02
2.675263E-01,3.94229E+02
2.805756E-01,3.933196E+02
2.895835E-01,3.929879E+02
2.943186E-01,3.931958E+02
2.929684E-01,3.938084E+02
2.878402E-01,3.946167E+02
2.801616E-01,3.953992E+02
2.707778E-01,3.957855E+02
2.671088E-01,3.956205E+02
2.679001E-01,3.950837E+02
2.72928E-01,3.944445E+02
2.786362E-01,3.939331E+02
2.844505E-01,3.937012E+02
2.872873E-01,3.938057E+02
2.873778E-01,3.942014E+02
2.833162E-01,3.94728E+02
2.77344E-01,3.951015E+02
2.740194E-01,3.952059E+02
2.729832E-01,3.951085E+02
2.737643E-01,3.94897E+02
2.754073E-01,3.946464E+02
2.777127E-01,3.944232E+02
2.802196E-01,3.943099E+02
2.819332E-01,3.943695E+02
2.807028E-01,3.945168E+02
2.800364E-01,3.946837E+02
2.790746E-01,3.949087E+02
2.76383E-01,3.951063E+02
2.736659E-01,3.95122E+02
2.742597E-01,3.950075E+02
2.743788E-01,3.948268E+02
2.764791E-01,3.946246E+02
2.786715E-01,3.945188E+02
2.796974E-01,3.945268E+02
2.798195E-01,3.946205E+02
2.785868E-01,3.947299E+02
2.783402E-01,3.948498E+02
2.761417E-01,3.949171E+02
2.760694E-01,3.948965E+02
2.760253E-01,3.948467E+02
2.764772E-01,3.947759E+02
2.414953E-01,3.974007E+02
2.158427E-01,3.980633E+02
2.090241E-01,3.96822E+02
2.163331E-01,3.947553E+02
2.307227E-01,3.927732E+02
2.474762E-01,3.913719E+02
2.613398E-01,3.907132E+02
2.705158E-01,3.907746E+02
2.738429E-01,3.914846E+02
2.689105E-01,3.926152E+02
2.588306E-01,3.937863E+02
2.471231E-01,3.945962E+02
2.387864E-01,3.947983E+02
2.35571E-01,3.944291E+02
2.362093E-01,3.936443E+02
2.43213E-01,3.927966E+02
2.522536E-01,3.922951E+02
2.575919E-01,3.922343E+02
2.595176E-01,3.925202E+02
2.56619E-01,3.929498E+02
2.53835E-01,3.933755E+02
2.495367E-01,3.937051E+02
2.453349E-01,3.937751E+02
2.450267E-01,3.936349E+02
2.462155E-01,3.93448E+02
2.473167E-01,3.932613E+02
2.482546E-01,3.930603E+02
2.509746E-01,3.929307E+02
2.509872E-01,3.928598E+02
2.534489E-01,3.928833E+02
2.53821E-01,3.93081E+02
2.518664E-01,3.933286E+02
2.492973E-01,3.934945E+02
2.487147E-01,3.936019E+02
2.472062E-01,3.93663E+02
2.458146E-01,3.935967E+02
2.457516E-01,3.933988E+02
2.46631E-01,3.931107E+02
2.492017E-01,3.928239E+02
2.520741E-01,3.926465E+02
2.543022E-01,3.926291E+02
2.540087E-01,3.927023E+02
2.541574E-01,3.928199E+02
2.538348E-01,3.930112E+02
2.511307E-01,3.931636E+02
2.505926E-01,3.932443E+02
2.503985E-01,3.933423E+02
2.475855E-01,3.933308E+02
2.476702E-01,3.931587E+02
2.491679E-01,3.929595E+02
2.515028E-01,3.928404E+02
2.520082E-01,3.927945E+02
2.53448E-01,3.928274E+02
2.529877E-01,3.929354E+02
2.53045E-01,3.930995E+02
2.521583E-01,3.933348E+02
2.495549E-01,3.935379E+02
2.471194E-01,3.935941E+02
2.469791E-01,3.935437E+02
2.459565E-01,3.933862E+02
2.822697E-01,3.908057E+02
3.11371E-01,3.899027E+02
3.256067E-01,3.904608E+02
3.255904E-01,3.922478E+02
3.079742E-01,3.948992E+02
2.776559E-01,3.974164E+02
2.533489E-01,3.986532E+02
2.402579E-01,3.980621E+02
2.466988E-01,3.963152E+02
2.590841E-01,3.943913E+02
2.777222E-01,3.929277E+02
2.92995E-01,3.92313E+02
3.009563E-01,3.925231E+02
3.005635E-01,3.933756E+02
2.926771E-01,3.945655E+02
2.805268E-01,3.956683E+02
2.705094E-01,3.963749E+02
2.615804E-01,3.963995E+02
2.612875E-01,3.957519E+02
2.65952E-01,3.947975E+02
2.752637E-01,3.939313E+02
2.849011E-01,3.935173E+02
2.888072E-01,3.935762E+02
2.873645E-01,3.938417E+02
2.857671E-01,3.941683E+02
2.828768E-01,3.945202E+02
2.796705E-01,3.948128E+02
2.754695E-01,3.948848E+02
2.761582E-01,3.947916E+02
2.767114E-01,3.946912E+02
2.763232E-01,3.945013E+02
2.803773E-01,3.943833E+02
2.793052E-01,3.943433E+02
2.802799E-01,3.942612E+02
2.824316E-01,3.943111E+02
2.808731E-01,3.944448E+02
2.787129E-01,3.944572E+02
2.795817E-01,3.943988E+02
2.808927E-01,3.944318E+02
2.795456E-01,3.944909E+02
2.797559E-01,3.945337E+02
2.796883E-01,3.94629E+02
2.785832E-01,3.94738E+02
2.76308E-01,3.947197E+02
2.772099E-01,3.945933E+02
2.787732E-01,3.945125E+02
2.789751E-01,3.944703E+02
2.79699E-01,3.944504E+02
2.804423E-01,3.945113E+02
2.804391E-01,3.946838E+02
2.783222E-01,3.94882E+02
2.753712E-01,3.949251E+02
2.751466E-01,3.94793E+02
2.761704E-01,3.945874E+02
2.793692E-01,3.944732E+02
2.79394E-01,3.944612E+02
2.809484E-01,3.945481E+02
2.798294E-01,3.947491E+02
2.769881E-01,3.948765E+02
2.754302E-01,3.948264E+02
2.416456E-01,3.974442E+02
2.156328E-01,3.981469E+02
2.080388E-01,3.968803E+02
2.166272E-01,3.948097E+02
2.312406E-01,3.929041E+02
2.472311E-01,3.915857E+02
2.594716E-01,3.90941E+02
2.67226E-01,3.908877E+02
2.715643E-01,3.913939E+02
2.689655E-01,3.923375E+02
2.614122E-01,3.934392E+02
2.509169E-01,3.943595E+02
2.415141E-01,3.947876E+02
2.360571E-01,3.9461E+02
2.370506E-01,3.940333E+02
2.39962E-01,3.932939E+02
2.476883E-01,3.926815E+02
2.531527E-01,3.9239E+02
2.5659E-01,3.92384E+02
2.582234E-01,3.926491E+02
2.910549E-01,3.907059E+02
3.144107E-01,3.903025E+02
3.241796E-01,3.91262E+02
3.156056E-01,3.931841E+02
2.968827E-01,3.95506E+02
2.720387E-01,3.974611E+02
2.526805E-01,3.981807E+02
2.452707E-01,3.974345E+02
2.497679E-01,3.957096E+02
2.651459E-01,3.939042E+02
2.831166E-01,3.92749E+02
2.966633E-01,3.925115E+02
3.002644E-01,3.930742E+02
2.951048E-01,3.940862E+02
2.847796E-01,3.951279E+02
2.736551E-01,3.957718E+02
2.680985E-01,3.958813E+02
2.646179E-01,3.954318E+02
2.695178E-01,3.946588E+02
2.764556E-01,3.93977E+02
2.837073E-01,3.936E+02
2.876248E-01,3.935848E+02
2.891403E-01,3.939019E+02
2.873168E-01,3.945152E+02
2.812476E-01,3.952276E+02
2.735273E-01,3.957144E+02
2.680551E-01,3.957478E+02
2.676195E-01,3.953854E+02
2.695035E-01,3.94771E+02
2.757564E-01,3.941428E+02
2.818023E-01,3.93747E+02
2.866234E-01,3.936842E+02
2.883569E-01,3.939823E+02
2.862636E-01,3.945533E+02
2.80423E-01,3.95172E+02
2.740831E-01,3.955789E+02
2.693138E-01,3.956033E+02
2.692522E-01,3.953051E+02
2.712767E-01,3.948521E+02
2.743939E-01,3.943213E+02
2.442393E-01,3.964852E+02
2.234367E-01,3.970617E+02
2.171424E-01,3.961711E+02
2.2158E-01,3.9453E+02
2.339461E-01,3.928908E+02
2.467129E-01,3.916715E+02
2.590284E-01,3.910284E+02
2.673516E-01,3.910133E+02
2.696911E-01,3.915117E+02
2.668591E-01,3.923268E+02
2.599111E-01,3.932102E+02
