U1,U2,T1,T2
50,62,50.853,52.356
50,62,50.757,51.417
50,62,50.02,51.013
50,62,50.469,51.97
50,62,51.077,52.116
50,62,51.68,51.963
50,62,51.826,52.785
50,62,51.579,52.587
50,62,51.577,52.894
50,38,51.402,52.613
50,38,51.215,51.444
50,38,51.49,51.134
50,38,51.897,52.01
50,38,52.128,53.051
50,38,52.432,53.077
50,38,52.534,52.393
50,38,52.756,52.084
50,38,52.906,52.973
50,38,52.572,52.954
50,38,52.489,52.67
50,38,53.341,52.783
50,62,54.565,53.47
50,62,54.804,54.032
50,62,54.189,53.822
50,62,54.134,52.864
50,62,54.126,53.184
50,62,54.187,53.076
50,62,54.24,53.113
50,62,54.606,53.224
50,62,54.918,53.668
50,62,55.332,55.076
50,62,55.536,54.683
50,62,56.112,54.772
30,62,55.813,54.066
30,62,55.082,53.313
30,62,54.88,54.85
30,62,55.611,56.472
30,62,56.091,56.266
30,62,56.709,56.029
30,62,56.604,55.951
30,62,56.085,54.954
30,62,55.639,54.411
30,62,55.583,54.581
30,62,56.208,55.125
30,62,57.204,56.254
30,38,57.026,56.599
30,38,56.16,56.847
30,38,55.467,56.001
30,38,55.024,56.455
30,38,54.756,56.043
30,38,55.136,55.354
30,38,55.311,55.358
30,38,55.233,55.472
30,38,54.693,56.63
30,38,54.624,56.565
30,38,54.541,55.724
30,38,54.484,54.978
50,62,54.485,54.85
50,62,54.938,56.646
50,62,54.779,57.119
50,62,54.648,57.387
50,62,53.916,55.893
50,62,53.26,54.287
50,62,54.198,54.868
50,62,55.23,55.491
50,62,55.215,57.103
50,62,54.885,57.101
50,62,54.191,57.052
50,62,53.758,55.576
50,62,53.423,54.58
50,62,54.12,54.657
50,62,55.388,55.798
50,62,56.143,57.902
50,62,56.378,58.029
50,62,56.033,56.699
50,62,55.86,56.412
50,62,55.954,55.989
50,62,56.51,56.153
50,62,56.634,57.671
50,62,56.413,57.91
50,62,56.445,57.447
30,62,56.607,57.919
30,62,56.73,57.616
30,62,57.347,57.018
30,62,57.833,57.034
30,62,57.533,58.161
30,62,56.955,58.475
30,62,56.243,58.344
30,62,55.958,58.71
30,62,56.187,58.09
30,62,56.567,57.275
30,62,56.758,57.292
30,62,56.7,57.504
50,62,56.881,59.104
50,62,57.166,59.057
50,62,56.99,59.336
50,62,56.638,58.554
50,62,55.684,57.617
50,62,55.73,58.319
50,62,56.114,58.578
50,62,56.078,58.352
50,62,56.483,59.375
50,62,56.923,59.085
50,62,57.028,59.537
50,62,56.845,58.731
50,62,56.208,57.656
50,62,56.08,58.599
50,62,56.448,58.815
50,62,56.514,59.805
50,62,57.058,59.521
50,62,58.198,58.956
50,62,58.885,58.287
50,62,58.747,58.032
50,62,57.805,58.576
50,62,57.398,60.299
50,62,57.695,60.142
50,62,58.558,59.91
30,62,58.452,59.104
30,62,58.068,59.539
30,62,57.739,59.428
30,62,58.384,58.678
30,62,59.197,59.499
30,62,59.21,59.722
30,62,59.009,59.706
30,62,58.097,59.527
30,62,57.372,59.345
30,62,57.309,58.945
30,62,58.096,60.133
30,62,58.216,60.834
30,62,57.427,59.951
30,62,56.916,60.038
30,62,56.995,59.308
30,62,57.395,60
30,62,57.048,60.087
30,62,56.437,60.739
30,62,56.114,59.863
30,62,55.472,58.954
30,62,55.44,59.397
30,62,55.527,59.383
30,62,55.619,59.072
30,62,55.282,58.788
30,38,54.904,59.782
30,38,54.456,59.506
30,38,54.261,58.809
30,38,54.371,59.058
30,38,54.631,59.067
30,38,54.44,58.908
30,38,54.075,58.03
30,38,53.482,57.305
30,38,53.173,57.214
30,38,53.307,58.692
30,38,54.046,59.095
30,38,54.269,58.483
30,38,53.946,58.33
30,38,53.142,57.165
30,38,52.928,56.87
30,38,52.94,56.692
30,38,53.098,56.377
30,38,53.233,56.207
30,38,52.9,56.26
30,38,52.498,55.701
30,38,52.328,55.137
30,38,51.729,54.989
30,38,51.649,55.931
30,38,52.011,55.515
50,62,52.015,54.491
50,62,52.499,54.856
50,62,52.346,54.597
50,62,51.5,54.437
50,62,51.163,54.09
50,62,51.067,55.301
50,62,51.607,55.976
50,62,52.169,55.096
50,62,52.64,54.522
50,62,52.347,53.87
50,62,51.743,53.626
50,62,52.097,54.899
30,62,52.531,55.225
30,62,52.643,54.663
30,62,52.705,53.555
30,62,52.668,53.605
30,62,52.625,55.114
30,62,52.655,56.499
30,62,52.362,55.706
30,62,52.715,54.722
30,62,53.238,55.065
30,62,53.523,55.003
30,62,53.781,55.77
30,62,53.142,55.465
30,38,52.341,56.046
30,38,52.04,55.394
30,38,51.918,54.638
30,38,52.361,55.798
30,38,52.559,56
30,38,52.772,55.041
30,38,53.157,54.36
30,38,53.023,54.378
30,38,52.651,54.843
30,38,52.406,54.907
30,38,52.068,55.358
30,38,52.282,55.029
30,62,53.046,54.43
30,62,52.906,54.795
30,62,52.274,54.922
30,62,51.773,55.84
30,62,51.755,55.555
30,62,52.052,55.738
30,62,52.353,55.051
30,62,52.765,55.347
30,62,52.97,55.036
30,62,52.512,54.888
30,62,51.587,54.583
30,62,50.673,55.443
50,38,50.83,55.395
50,38,51.962,54.465
50,38,52.617,54.6
50,38,52.844,55.708
50,38,52.286,55.934
50,38,52.297,56.436
50,38,51.986,55.7
50,38,51.649,54.657
50,38,52.238,53.826
50,38,53.377,53.788
50,38,53.712,54.335
50,38,53.27,55.209
30,38,52.283,55.277
30,38,51.961,55.788
30,38,52.268,54.826
30,38,52.733,53.592
30,38,53.66,54.517
30,38,54.271,54.827
30,38,54.554,54.484
30,38,54.034,55.356
10,18,53.384,54.968
10,18,53.055,53.719
10,18,52.733,52.666
10,18,52.658,53.591
30,42,52.86,54.123
30,42,53.133,54.339
30,42,52.959,53.933
30,42,52.945,53.392
30,42,53.044,53.166
30,42,53.152,52.97
30,42,52.832,53.294
30,42,51.761,53.004
30,42,50.954,52.485
30,42,50.917,52.555
30,42,51.453,53.705
30,42,51.658,53.69
30,18,51.455,52.884
30,18,51.094,51.787
30,18,50.527,51.186
30,18,50.249,51.361
30,18,50.749,51.947
30,18,51.428,53.111
30,18,51.39,53.456
30,18,50.87,52.257
30,18,50.361,51.232
30,18,50.234,50.73
30,18,50.826,50.971
30,18,51.136,51.205
30,18,51.022,50.899
30,18,50.69,50.795
30,18,50.461,51.606
30,18,50.141,51.024
30,18,49.959,50.271
30,18,49.997,49.964
30,18,50.164,49.486
30,18,50.643,49.252
30,18,50.63,49.366
30,18,50.3,49.62
30,18,49.647,49.414
30,18,49.245,49.035
10,18,49.66,48.827
10,18,50.301,50.329
10,18,50.595,50.48
10,18,50.399,49.233
10,18,49.619,48.646
10,18,48.676,48.571
10,18,47.62,48.179
10,18,47.26,47.854
10,18,47.641,47.48
10,18,47.889,47.367
10,18,47.867,47.515
10,18,48.041,48.081
30,18,48.234,48.874
30,18,48.339,48.53
30,18,47.639,47.651
30,18,46.889,47.035
30,18,46.663,46.696
30,18,46.97,47.876
30,18,47.811,48.174
30,18,48.019,47.663
30,18,47.261,46.958
30,18,46.395,46.259
30,18,45.738,46.074
30,18,45.721,46.027
30,18,46.158,46.127
30,18,46.586,46.266
30,18,46.338,46.328
30,18,45.808,45.918
30,18,45.818,45.481
30,18,46.187,45.01
30,18,46.171,45.228
30,18,45.919,45.391
30,18,45.693,45.388
30,18,45.649,45.629
30,18,46.479,45.867
30,18,46.938,45.597
30,18,46.788,45.17
30,18,46.328,45.29
30,18,46.365,45.688
30,18,46.726,46.705
30,18,47.059,46.337
30,18,46.735,45.291
30,18,46.178,44.183
30,18,46.221,43.848
30,18,46.661,44.662
30,18,47.078,45.317
30,18,47.169,45.379
30,18,47.312,44.982
30,42,47.37,44.567
30,42,47.331,45.136
30,42,46.922,45.708
30,42,46.565,45.492
30,42,46.845,45.608
30,42,47.007,45.527
30,42,46.961,45.014
30,42,47.506,45.648
30,42,47.726,45.904
30,42,47.552,45.349
30,42,47.572,45.704
30,42,47.023,45.711
30,42,46.843,47.233
30,42,47.09,46.899
30,42,47.753,45.558
30,42,47.825,45.241
30,42,47.815,45.493
30,42,47.42,46.652
30,42,47.081,47.207
30,42,47.376,46.939
30,42,48.222,47.037
30,42,48.47,46.973
30,42,48.476,46.833
30,42,47.955,46.736
30,18,47.459,46.723
30,18,48.057,46.802
30,18,49.322,47.517
30,18,49.414,47.8
30,18,48.629,47.901
30,18,47.822,47.775
30,18,47.591,47.585
30,18,47.925,47.86
30,18,48.409,47.913
30,18,48.987,47.782
30,18,49.195,47.627
30,18,48.994,47.561
10,18,48.664,47.593
10,18,48.105,47.658
10,18,48.086,47.34
10,18,48.438,47.011
10,18,48.782,46.93
10,18,48.87,47.079
10,18,48.725,47.269
10,18,48.175,47.336
10,18,47.752,46.902
10,18,47.715,46.449
10,18,47.611,46.326
10,18,47.546,46.519
30,18,47.924,48.206
30,18,48.046,48.262
30,18,47.225,46.788
30,18,46.322,45.688
30,18,46.034,45.298
30,18,46.4,46.764
30,18,46.994,48.432
30,18,47.316,47.591
30,18,46.796,47.066
30,18,46.44,45.706
30,18,46.434,45.495
30,18,46.697,45.527
30,18,47.309,45.713
30,18,47.715,46.941
30,18,47.352,46.548
30,18,46.339,46.375
30,18,46.342,45.401
30,18,46.303,44.269
30,18,46.253,43.865
30,18,46.603,44.262
30,18,46.99,45.28
30,18,47.135,45.617
30,18,46.992,45.23
30,18,46.739,44.627
30,18,46.588,43.964
30,18,46.261,44.461
30,18,46.085,44.668
30,18,46.49,44.175
30,18,46.975,44.294
30,18,47.17,44.393
30,18,47.379,45.11
30,18,47.105,45.363
30,18,46.693,44.741
30,18,46.826,45.043
30,18,46.544,44.7
30,18,46.883,45.226
10,18,47.061,44.909
10,18,46.586,44.24
10,18,46.641,43.815
10,18,47.375,43.535
10,18,47.322,43.577
10,18,46.777,43.788
10,18,46.663,45.009
10,18,46.602,44.962
10,18,46.237,44.08
10,18,45.911,43.979
10,18,45.515,43.776
10,18,45.361,43.651
30,18,45.489,44.032
30,18,45.762,44.135
30,18,45.644,43.969
30,18,45.694,43.733
30,18,45.464,43.982
30,18,44.871,44.012
30,18,44.462,43.504
30,18,44.468,43.362
30,18,44.76,43.232
30,18,45.032,43.216
30,18,45.092,43.999
30,18,44.986,44.39
10,42,45.549,44.931
10,42,45.419,44.458
10,42,45.518,44.45
10,42,45.355,43.707
10,42,45.466,43.36
10,42,45.336,43.548
10,42,45.151,43.955
10,42,45.073,44.209
10,42,44.769,44.17
10,42,44.883,43.954
10,42,45.194,43.789
10,42,45.054,43.785
30,42,45.073,45.303
30,42,45.616,45.685
30,42,45.101,45.364
30,42,44.581,45.482
30,42,44.097,45.099
30,42,43.984,45.011
30,42,44.568,44.848
30,42,44.841,45.126
30,42,44.713,46.203
30,42,44.428,45.953
30,42,44.216,46.039
30,42,43.863,45.58
30,18,43.659,45.084
30,18,44.411,45.312
30,18,44.929,45.781
30,18,44.91,46.063
30,18,45.243,45.644
30,18,45.198,45.418
30,18,45.285,45.484
30,18,45.76,45.708
30,18,45.801,46.592
30,18,45.534,46.552
30,18,45.231,45.9
30,18,45.464,45.313
30,42,45.889,45.22
30,42,46.503,45.88
30,42,46.81,47.039
30,42,46.341,46.961
30,42,45.659,46.071
30,42,45.314,46.342
30,42,45.838,46.153
30,42,46.555,45.814
30,42,46.869,45.986
30,42,46.686,46.016
30,42,46.65,45.915
30,42,46.737,45.803
10,42,46.845,46.125
10,42,46.51,46.5
10,42,46.761,46.629
10,42,47.222,46.511
10,42,47.836,47.385
10,42,47.772,47.584
35,67,47.276,47.156
35,67,47.326,46.959
35,67,47.715,47.177
35,67,48.06,47.883
35,67,47.78,48.041
35,67,47.269,48.045
35,43,47.329,47.934
35,43,47.727,47.507
35,43,48.056,47.79
35,43,47.76,48.699
35,43,47.634,50.057
35,43,48.089,50.012
35,43,48.575,50.476
35,43,48.377,49.527
35,43,47.821,49.359
35,43,47.448,49.129
35,43,47.829,49.034
35,43,48.091,49.12
55,67,48.793,49.624
55,67,49.328,50.394
55,67,49.431,50.524
55,67,49.148,50.108
55,67,49.152,50.684
55,67,49.733,51.519
55,67,49.932,51.219
55,67,50.051,51.777
55,67,50.049,51.441
55,67,50.65,50.746
55,67,51.204,50.34
55,67,51.321,50.788
55,43,51.434,52.187
55,43,51.487,52.509
55,43,52.151,53.166
55,43,52.751,52.521
55,43,52.824,51.82
55,43,53.544,51.949
55,43,54.551,53.636
55,43,55.407,54.087
55,43,55.499,53.712
55,43,55.332,53.388
55,43,54.758,53.328
55,43,54.693,53.482
55,43,56.094,53.69
55,43,56.748,53.822
55,43,57.116,53.791
55,43,57.011,53.665
55,43,57.373,54.977
55,43,57.47,54.891
55,43,57.638,55.683
55,43,57.402,55.777
55,43,57.398,54.252
55,43,57.153,53.821
55,43,57.303,53.743
55,43,57.624,55.038
35,43,57.862,55.252
35,43,57.812,55.628
35,43,58.244,55.837
35,43,58.325,55.08
35,43,59.138,53.87
35,43,59.476,53.98
35,43,59.278,56.314
35,43,59.284,56.647
35,43,59.733,56.794
35,43,59.435,55.652
35,43,58.808,54.455
35,43,58.412,53.741
35,67,58.123,54.244
35,67,58.163,56.25
35,67,58.441,56.496
35,67,58.99,56.787
35,67,58.607,55.835
35,67,57.834,54.712
35,67,57.358,54.292
35,67,58.167,56.093
35,67,58.609,57.398
35,67,58.472,58.451
35,67,58.038,57.115
35,67,57.652,55.132
35,67,57.203,54.531
35,67,56.722,55.311
35,67,57.329,57.522
35,67,57.927,59.451
35,67,57.72,58.338
35,67,57.036,57.372
35,67,56.528,56.143
35,67,56.148,55.648
35,67,56.513,57.442
35,67,57.182,58.426
35,67,57.195,58.489
35,67,57.081,57.862
35,67,56.944,57.581
35,67,57.259,58.809
35,67,57.338,59.101
35,67,57.531,59.245
35,67,57.301,58.827
35,67,57.293,59.39
35,67,57.113,58.789
35,67,57.27,58.193
35,67,56.827,58.048
35,67,56.32,59.361
35,67,56.542,59.629
35,67,57.786,60.432
35,67,58.109,59.967
35,67,57.528,58.96
35,67,56.741,58.302
35,67,56.403,58.361
35,67,56.642,59.231
35,67,57.837,61.094
35,67,58.124,61.213
35,67,57.534,60.74
35,67,56.764,59.479
35,67,56.415,59.319
35,67,56.285,59.68
35,67,56.774,60.846
55,67,56.993,60.647
55,67,57.217,60.022
55,67,57.338,60.276
55,67,56.966,59.871
55,67,56.872,60.368
55,67,57.417,60.413
55,67,57.631,61.551
55,67,57.493,61.162
55,67,57.178,61.075
55,67,57.334,60.192
55,67,57.669,59.791
55,67,57.892,61.085
35,43,57.922,61.153
35,43,57.728,60.345
35,43,58.14,60.496
35,43,59.038,60.5
35,43,59.596,60.419
35,43,59.864,61.398
35,43,59.058,61.296
35,43,58.442,60.147
35,43,58.024,59.494
35,43,58.058,59.313
35,43,58.74,59.249
35,43,59.006,59.686
35,67,59.163,60.13
35,67,58.782,60.58
35,67,58.674,61.151
35,67,58.839,61.387
35,67,58.701,60.164
35,67,58.413,59.2
35,67,57.882,58.766
35,67,57.949,60.071
35,67,58.072,60.897
35,67,58.133,60.432
35,67,58.426,60.144
35,67,58.661,59.842
35,67,58.679,59.401
35,67,58.887,60.252
35,67,59.462,60.651
35,67,59.497,60.456
35,67,59.479,61.052
35,67,58.749,60.319
35,67,58.397,60.977
35,67,57.891,60.679
35,67,57.981,59.595
35,67,58.034,60.567
35,67,58.084,62.216
35,67,58.123,62.747
55,67,58.094,60.705
55,67,58.351,60.206
55,67,58.01,60.063
55,67,57.882,60.961
55,67,58.024,61.197
55,67,58.589,62.237
55,67,58.692,61.646
55,67,57.999,60.013
55,67,57.955,60.636
55,67,58.446,60.932
55,67,59.288,61.87
55,67,59.765,61.852
35,43,59.614,61.189
35,43,59.089,60.93
35,43,58.992,60.666
35,43,59.26,61.671
35,43,59.615,61.741
35,43,60.1,62.193
35,43,59.966,61.155
35,43,59.823,61.275
35,43,59.453,60.673
35,43,59.537,61.084
35,43,59.54,60.827
35,43,59.82,60.307
35,67,59.361,59.997
35,67,59.103,60.02
35,67,59.531,60.018
35,67,60.108,60.021
35,67,60.357,59.679
35,67,60.191,60.764
35,67,59.908,60.939
35,67,59.732,60.36
35,67,59.737,60.055
35,67,59.51,59.811
35,67,59.653,60.847
35,67,59.624,60.932
55,67,59.48,61.718
55,67,59.417,60.98
55,67,59.128,59.748
55,67,59.237,60.153
55,67,59.226,60.671
55,67,59.146,60.524
55,67,59.416,60.388
55,67,60.081,61.438
55,67,60.202,61.464
55,67,60.546,61.118
55,67,60.778,61.847
55,67,60.435,61.344
35,43,60.275,60.714
35,43,59.962,61.193
35,43,60.091,61.251
35,43,60.774,62.06
35,43,60.992,61.377
35,43,60.337,61.234
35,43,59.938,60.476
35,43,59.632,59.51
35,43,59.604,59.122
35,43,59.805,60.841
35,43,59.72,61.304
35,43,59.472,60.207
35,67,59.254,60.628
35,67,58.907,60.329
35,67,59.062,60.581
35,67,59.456,59.973
35,67,59.697,60.302
35,67,59.324,59.956
35,67,59.502,60.456
35,67,59.593,60.466
35,67,59.541,59.779
35,67,59.767,60.189
35,67,60.042,59.987
35,67,59.775,59.872
35,67,59.698,60.952
35,67,59.132,60.624
35,67,58.613,59.566
35,67,58.487,59.149
35,67,59.094,60.556
35,67,59.095,61.115
35,67,59.023,61.729
35,67,58.955,60.86
35,67,58.542,59.978
35,67,58.195,59.73
35,67,58.164,60.099
35,67,58.392,60.622
35,43,59.342,60.522
35,43,60.061,61.534
35,43,59.772,61.37
35,43,58.625,60.848
60,63,58.086,60.443
60,63,58.497,60.72
60,63,59.274,62.493
60,63,59.771,62.563
60,63,59.308,61.415
60,63,58.497,60.968
60,63,58.422,61.32
60,63,58.923,60.912
60,63,60.135,61.378
60,63,60.953,61.055
60,63,60.874,60.78
60,63,60.246,61.78
60,63,59.747,61.467
60,63,60.024,60.853
60,63,60.97,61.58
60,63,61.71,62.703
60,63,62.133,63.261
60,63,62.365,61.952
60,63,62.595,61.762
60,63,61.968,61.05
80,87,61.559,60.488
80,87,61.64,60.433
80,87,62.437,62.307
80,87,63.188,62.709
80,87,63.668,61.816
80,87,64.28,62.122
80,87,64.202,61.602
80,87,64.045,61.952
80,87,63.977,62.275
80,87,63.666,62.341
80,87,64.123,62.179
80,87,65.115,63.428
80,63,65.777,63.667
80,63,65.692,63.053
80,63,65.848,62.187
80,63,66.397,62.512
80,63,66.844,64.837
80,63,67.31,65.379
80,63,67.757,65.729
80,63,68.207,64.631
80,63,68.63,63.369
80,63,68.71,63.288
80,63,68.888,65.125
