T1(k+1),T2(k+1)
57.601,60.73
57.427,59.876
57.224,58.991
57.172,59.45
57.08,59.422
56.951,59.081
56.822,58.778
56.859,59.79
56.811,59.551
56.699,58.877
56.686,59.116
56.648,59.091
56.592,58.904
56.443,58.035
56.291,57.342
56.202,57.283
56.316,58.766
56.34,59.14
56.244,58.477
56.19,58.306
56.009,57.179
55.909,56.941
55.816,56.779
55.698,56.432
55.59,56.216
55.513,56.248
55.369,55.717
55.214,55.192
55.099,55.06
55.124,56.004
55.008,55.565
54.801,54.504
55.096,54.853
55.31,54.607
55.517,54.493
55.682,54.2
56.022,55.423
56.314,56.07
56.408,55.135
56.5,54.519
56.557,53.871
56.645,53.68
56.916,55.011
57.092,55.335
56.761,54.722
56.356,53.56
56.085,53.59
56.028,55.124
56.021,56.55
55.788,55.778
55.511,54.782
55.378,55.079
55.214,54.976
55.167,55.739
55.021,55.463
54.99,56.1
54.864,55.489
54.701,54.72
54.76,55.832
54.736,55.988
54.575,55.018
54.425,54.351
54.348,54.384
54.335,54.872
54.291,54.955
54.3,55.409
54.225,55.069
54.104,54.438
54.051,54.764
53.99,54.905
54.046,55.879
53.981,55.636
53.964,55.805
53.837,55.065
53.816,55.316
53.733,54.994
53.668,54.873
53.586,54.624
53.649,55.536
53.622,55.503
53.898,54.518
54.251,54.572
54.716,55.656
55.092,55.935
55.495,56.523
55.728,55.824
55.871,54.764
55.987,53.889
56.161,53.79
56.399,54.298
56.694,55.202
56.908,55.354
56.783,55.938
56.486,54.958
56.125,53.632
56.014,54.469
55.872,54.747
55.673,54.435
55.636,55.368
55.475,55.042
54.84,53.808
54.213,52.706
53.835,53.572
53.468,54.078
53.459,54.3
53.382,53.924
53.279,53.416
53.198,53.193
53.115,52.976
53.095,53.278
53.014,53.002
52.902,52.533
52.852,52.635
52.941,53.762
52.915,53.691
52.789,52.852
52.645,51.772
52.534,51.215
52.508,51.43
52.539,52.015
52.66,53.13
52.711,53.427
52.579,52.234
52.437,51.257
52.332,50.796
52.305,51.031
52.282,51.214
52.201,50.87
52.142,50.774
52.206,51.629
52.119,51.083
51.99,50.335
51.894,50.001
51.768,49.489
51.663,49.233
51.602,49.342
51.57,49.62
51.494,49.453
51.393,49.104
51.302,48.887
51.034,50.336
50.665,50.427
50.149,49.161
49.707,48.608
49.341,48.596
48.954,48.253
48.582,47.933
48.206,47.509
47.869,47.325
47.582,47.44
47.378,48.029
47.238,48.86
47.381,48.536
47.433,47.665
47.483,47.064
47.543,46.739
47.776,47.91
47.925,48.178
47.971,47.627
47.973,46.922
47.957,46.279
47.983,46.155
48.016,46.124
48.056,46.182
48.098,46.257
48.136,46.289
48.119,45.913
48.09,45.534
48.038,45.08
48.055,45.264
48.07,45.397
48.073,45.395
48.109,45.658
48.151,45.908
48.129,45.609
48.078,45.154
48.088,45.283
48.141,45.719
48.283,46.754
48.274,46.368
48.163,45.291
48.014,44.182
47.935,43.871
47.995,44.694
48.057,45.333
48.063,45.372
48.014,44.969
47.952,44.561
47.968,45.142
48.004,45.728
47.96,45.528
47.952,45.646
47.92,45.54
47.831,45.002
47.876,45.632
47.895,45.888
47.819,45.341
47.845,45.713
47.838,45.731
48.026,47.268
48.021,46.935
47.872,45.564
47.809,45.204
47.814,45.451
47.949,46.643
48.045,47.246
48.05,46.998
48.084,47.059
48.094,46.933
48.094,46.771
48.101,46.705
48.119,46.754
48.184,46.865
48.32,47.537
48.414,47.742
48.495,47.83
48.555,47.773
48.603,47.658
48.694,47.945
48.754,47.941
48.784,47.74
48.807,47.553
48.84,47.514
48.887,47.607
48.549,47.715
48.18,47.391
47.814,47.008
47.487,46.866
47.208,46.992
46.963,47.208
46.728,47.323
46.446,46.927
46.159,46.471
45.91,46.31
45.71,46.47
45.721,48.151
45.978,48.216
46.031,46.774
46.075,45.721
46.165,45.36
46.467,46.809
46.826,48.431
46.906,47.55
46.993,47.023
46.955,45.711
47.016,45.541
47.092,45.572
47.18,45.72
47.4,46.904
47.449,46.503
47.515,46.376
47.471,45.466
47.369,44.337
47.318,43.892
47.357,44.249
47.488,45.247
47.565,45.593
47.56,45.234
47.514,44.656
47.439,44
47.491,44.487
47.521,44.689
47.467,44.191
47.475,44.289
47.483,44.371
47.575,45.091
47.632,45.362
47.584,44.768
47.633,45.085
47.606,44.728
47.677,45.238
47.655,44.9
47.19,44.224
46.763,43.808
46.362,43.521
46.013,43.533
45.711,43.74
45.566,44.991
45.314,44.966
44.969,44.081
44.708,43.967
44.447,43.757
44.205,43.634
44.037,44.016
44.244,44.112
44.41,43.946
44.552,43.724
44.739,43.984
44.897,44.029
44.979,43.539
45.083,43.399
45.174,43.25
45.268,43.205
45.458,43.976
45.619,44.384
45.805,44.951
45.443,44.472
45.141,44.442
44.764,43.676
44.433,43.323
44.179,43.515
43.976,43.937
43.78,44.203
43.568,44.164
43.344,43.942
43.129,43.757
42.941,43.734
42.959,45.258
43.277,45.658
43.503,45.35
43.76,45.495
43.944,45.135
44.139,45.052
44.305,44.866
44.509,45.104
44.815,46.169
44.978,45.949
45.168,46.076
45.278,45.638
45.358,45.137
45.542,45.339
45.751,45.766
45.942,46.033
46.048,45.637
46.157,45.436
46.288,45.517
46.431,45.735
46.657,46.595
46.785,46.551
46.828,45.919
46.853,45.351
46.916,45.248
47.026,45.878
47.218,47.011
47.287,46.941
47.249,46.096
47.33,46.41
47.354,46.223
47.344,45.83
47.384,45.942
47.414,45.964
47.433,45.907
47.447,45.839
47.509,46.168
47.195,46.522
46.88,46.622
46.557,46.473
46.375,47.325
46.154,47.523
45.877,47.122
46.078,46.963
46.311,47.195
46.595,47.881
46.819,48.016
47.019,48.03
47.195,47.952
47.351,47.533
47.569,47.793
47.864,48.682
48.237,50.057
48.461,50.038
48.733,50.498
48.821,49.527
48.969,49.36
49.098,49.159
49.228,49.085
49.365,49.154
49.548,49.626
50.123,50.368
50.613,50.509
51.011,50.136
51.498,50.756
52.009,51.6
52.366,51.266
52.801,51.794
53.116,51.46
53.353,50.784
53.585,50.376
53.895,50.812
54.33,52.216
54.69,52.556
55.085,53.226
55.306,52.563
55.478,51.834
55.722,51.957
56.159,53.64
56.472,54.083
56.674,53.704
56.859,53.399
57.056,53.372
57.266,53.558
57.472,53.753
57.654,53.811
57.809,53.734
57.946,53.622
58.263,54.991
58.429,54.941
58.692,55.733
58.875,55.805
58.839,54.267
