U1,U2,T1,T2
50,62,52.425,52.41
50,62,52.62,51.463
50,62,52.836,51.049
50,62,53.2,52.02
50,62,53.472,52.158
50,62,53.691,51.98
50,62,54.016,52.783
50,62,54.224,52.601
50,62,54.48,52.945
50,38,54.655,52.687
50,38,54.728,51.517
50,38,54.861,51.19
50,38,55.125,52.04
50,38,55.428,53.069
50,38,55.624,53.105
50,38,55.716,52.434
50,38,55.824,52.132
50,38,56.068,53.017
50,38,56.213,52.998
50,38,56.315,52.728
50,38,56.45,52.842
50,62,56.65,53.491
50,62,56.808,54.007
50,62,56.883,53.806
50,62,56.854,52.907
50,62,56.955,53.262
50,62,57.002,53.149
50,62,57.057,53.154
50,62,57.119,53.237
50,62,57.225,53.667
50,62,57.469,55.083
50,62,57.521,54.705
50,62,57.616,54.799
30,62,57.603,54.082
30,62,57.171,53.334
30,62,57.036,54.887
30,62,56.981,56.509
30,62,56.752,56.264
30,62,56.524,55.985
30,62,56.324,55.888
30,62,56.02,54.921
30,62,55.758,54.429
30,62,55.582,54.624
30,62,55.467,55.145
30,62,55.45,56.212
30,38,55.378,56.506
30,38,55.357,56.782
30,38,55.216,56.02
30,38,55.216,56.531
30,38,55.118,56.116
30,38,54.967,55.372
30,38,54.884,55.31
30,38,54.823,55.405
30,38,54.912,56.602
30,38,54.89,56.601
30,38,54.763,55.78
30,38,54.617,55.006
50,62,54.528,54.837
50,62,55.037,56.614
50,62,55.42,57.105
50,62,55.776,57.418
50,62,55.891,55.96
50,62,55.924,54.371
50,62,56.17,54.937
50,62,56.421,55.495
50,62,56.81,57.057
50,62,57.037,57.084
50,62,57.249,57.107
50,62,57.261,55.692
50,62,57.271,54.696
50,62,57.373,54.726
50,62,57.605,55.793
50,62,57.992,57.846
50,62,58.189,57.987
50,62,58.195,56.717
50,62,58.284,56.488
50,62,58.335,56.077
50,62,58.436,56.201
50,62,58.709,57.667
50,62,58.864,57.899
50,62,58.932,57.472
30,62,59.099,57.975
30,62,58.784,57.671
30,62,58.434,57.033
30,62,58.159,56.992
30,62,58.048,58.098
30,62,57.893,58.458
30,62,57.708,58.394
30,62,57.593,58.796
30,62,57.367,58.153
30,62,57.098,57.27
30,62,56.919,57.231
30,62,56.783,57.442
50,62,56.849,59.087
50,62,57.152,59.079
50,62,57.474,59.374
50,62,57.648,58.594
50,62,57.758,57.659
50,62,58.037,58.377
50,62,58.268,58.631
50,62,58.428,58.381
50,62,58.732,59.392
50,62,58.887,59.098
50,62,59.117,59.551
50,62,59.189,58.76
50,62,59.189,57.706
50,62,59.41,58.673
50,62,59.557,58.888
50,62,59.801,59.85
50,62,59.904,59.545
50,62,59.95,58.956
50,62,59.954,58.255
50,62,59.986,57.998
50,62,60.118,58.59
50,62,60.422,60.39
50,62,60.529,60.263
50,62,60.603,59.977
30,62,60.581,59.086
30,62,60.307,59.5
30,62,60.006,59.427
30,62,59.638,58.718
30,62,59.462,59.518
30,62,59.248,59.689
30,62,59.029,59.658
30,62,58.809,59.509
30,62,58.6,59.388
30,62,58.368,59.021
30,62,58.332,60.175
30,62,58.279,60.803
30,62,58.056,59.895
30,62,57.946,60.028
30,62,57.743,59.355
30,62,57.702,60.047
30,62,57.61,60.095
30,62,57.601,60.73
30,62,57.427,59.876
30,62,57.224,58.991
30,62,57.172,59.45
30,62,57.08,59.422
30,62,56.951,59.081
30,62,56.822,58.778
30,38,56.859,59.79
30,38,56.811,59.551
30,38,56.699,58.877
30,38,56.686,59.116
30,38,56.648,59.091
30,38,56.592,58.904
30,38,56.443,58.035
30,38,56.291,57.342
30,38,56.202,57.283
30,38,56.316,58.766
30,38,56.34,59.14
30,38,56.244,58.477
30,38,56.19,58.306
30,38,56.009,57.179
30,38,55.909,56.941
30,38,55.816,56.779
30,38,55.698,56.432
30,38,55.59,56.216
30,38,55.513,56.248
30,38,55.369,55.717
30,38,55.214,55.192
30,38,55.099,55.06
30,38,55.124,56.004
30,38,55.008,55.565
50,62,54.801,54.504
50,62,55.096,54.853
50,62,55.31,54.607
50,62,55.517,54.493
50,62,55.682,54.2
50,62,56.022,55.423
50,62,56.314,56.07
50,62,56.408,55.135
50,62,56.5,54.519
50,62,56.557,53.871
50,62,56.645,53.68
50,62,56.916,55.011
30,62,57.092,55.335
30,62,56.761,54.722
30,62,56.356,53.56
30,62,56.085,53.59
30,62,56.028,55.124
30,62,56.021,56.55
30,62,55.788,55.778
30,62,55.511,54.782
30,62,55.378,55.079
30,62,55.214,54.976
30,62,55.167,55.739
30,62,55.021,55.463
30,38,54.99,56.1
30,38,54.864,55.489
30,38,54.701,54.72
30,38,54.76,55.832
30,38,54.736,55.988
30,38,54.575,55.018
30,38,54.425,54.351
30,38,54.348,54.384
30,38,54.335,54.872
30,38,54.291,54.955
30,38,54.3,55.409
30,38,54.225,55.069
30,62,54.104,54.438
30,62,54.051,54.764
30,62,53.99,54.905
30,62,54.046,55.879
30,62,53.981,55.636
30,62,53.964,55.805
30,62,53.837,55.065
30,62,53.816,55.316
30,62,53.733,54.994
30,62,53.668,54.873
30,62,53.586,54.624
30,62,53.649,55.536
50,38,53.622,55.503
50,38,53.898,54.518
50,38,54.251,54.572
50,38,54.716,55.656
50,38,55.092,55.935
50,38,55.495,56.523
50,38,55.728,55.824
50,38,55.871,54.764
50,38,55.987,53.889
50,38,56.161,53.79
50,38,56.399,54.298
50,38,56.694,55.202
30,38,56.908,55.354
30,38,56.783,55.938
30,38,56.486,54.958
30,38,56.125,53.632
30,38,56.014,54.469
30,38,55.872,54.747
30,38,55.673,54.435
30,38,55.636,55.368
10,18,55.475,55.042
10,18,54.84,53.808
10,18,54.213,52.706
10,18,53.835,53.572
30,42,53.468,54.078
30,42,53.459,54.3
30,42,53.382,53.924
30,42,53.279,53.416
30,42,53.198,53.193
30,42,53.115,52.976
30,42,53.095,53.278
30,42,53.014,53.002
30,42,52.902,52.533
30,42,52.852,52.635
30,42,52.941,53.762
30,42,52.915,53.691
30,18,52.789,52.852
30,18,52.645,51.772
30,18,52.534,51.215
30,18,52.508,51.43
30,18,52.539,52.015
30,18,52.66,53.13
30,18,52.711,53.427
30,18,52.579,52.234
30,18,52.437,51.257
30,18,52.332,50.796
30,18,52.305,51.031
30,18,52.282,51.214
30,18,52.201,50.87
30,18,52.142,50.774
30,18,52.206,51.629
30,18,52.119,51.083
30,18,51.99,50.335
30,18,51.894,50.001
30,18,51.768,49.489
30,18,51.663,49.233
30,18,51.602,49.342
30,18,51.57,49.62
30,18,51.494,49.453
30,18,51.393,49.104
10,18,51.302,48.887
10,18,51.034,50.336
10,18,50.665,50.427
10,18,50.149,49.161
10,18,49.707,48.608
10,18,49.341,48.596
10,18,48.954,48.253
10,18,48.582,47.933
10,18,48.206,47.509
10,18,47.869,47.325
10,18,47.582,47.44
10,18,47.378,48.029
30,18,47.238,48.86
30,18,47.381,48.536
30,18,47.433,47.665
30,18,47.483,47.064
30,18,47.543,46.739
30,18,47.776,47.91
30,18,47.925,48.178
30,18,47.971,47.627
30,18,47.973,46.922
30,18,47.957,46.279
30,18,47.983,46.155
30,18,48.016,46.124
30,18,48.056,46.182
30,18,48.098,46.257
30,18,48.136,46.289
30,18,48.119,45.913
30,18,48.09,45.534
30,18,48.038,45.08
30,18,48.055,45.264
30,18,48.07,45.397
30,18,48.073,45.395
30,18,48.109,45.658
30,18,48.151,45.908
30,18,48.129,45.609
30,18,48.078,45.154
30,18,48.088,45.283
30,18,48.141,45.719
30,18,48.283,46.754
30,18,48.274,46.368
30,18,48.163,45.291
30,18,48.014,44.182
30,18,47.935,43.871
30,18,47.995,44.694
30,18,48.057,45.333
