U1,U2,T1,T2
40,55,326.46,326.34
40,55,326.59,326.48
40,55,326.71,326.6
40,55,326.84,326.73
40,55,326.95,326.84
40,55,327.07,326.96
40,55,327.18,327.07
40,55,327.29,327.18
40,55,327.39,327.29
40,55,327.49,327.39
40,55,327.59,327.5
40,55,327.69,327.59
40,55,327.78,327.69
40,55,327.88,327.78
40,55,327.96,327.87
40,55,328.05,327.96
40,55,328.14,328.04
40,55,328.22,328.13
40,55,328.3,328.21
40,55,328.37,328.29
40,55,328.45,328.36
40,55,328.52,328.44
40,55,328.6,328.51
40,55,328.66,328.58
40,55,328.73,328.65
40,55,328.8,328.71
40,55,328.86,328.78
40,55,328.92,328.84
40,55,328.98,328.9
40,55,329.04,328.96
40,55,329.1,329.02
40,55,329.16,329.07
40,55,329.21,329.13
40,55,329.26,329.18
40,55,329.31,329.23
40,55,329.36,329.28
40,55,329.41,329.33
40,55,329.46,329.37
40,55,329.5,329.42
40,55,329.55,329.46
40,55,329.59,329.51
40,55,329.63,329.55
40,55,329.67,329.59
40,55,329.71,329.63
40,55,329.75,329.67
40,55,329.79,329.71
40,55,329.83,329.74
40,55,329.86,329.78
40,55,329.9,329.81
40,55,329.93,329.85
40,55,329.96,329.88
40,55,329.99,329.91
40,55,330.02,329.94
40,55,330.05,329.97
40,55,330.08,330
40,55,330.11,330.03
40,55,330.14,330.06
40,55,330.17,330.08
40,55,330.19,330.11
40,55,330.22,330.13
40,55,330.24,330.16
40,55,330.27,330.18
40,55,330.29,330.21
40,55,330.31,330.23
40,55,330.33,330.25
40,55,330.35,330.27
40,55,330.37,330.29
40,55,330.39,330.31
40,55,330.41,330.33
40,55,330.43,330.35
40,55,330.45,330.37
40,55,330.47,330.39
40,55,330.49,330.41
40,55,330.5,330.42
40,55,330.52,330.44
40,55,330.54,330.46
40,55,330.55,330.47
40,55,330.57,330.49
40,55,330.58,330.5
40,55,330.6,330.52
40,55,330.61,330.53
40,55,330.62,330.54
40,55,330.64,330.56
40,55,330.65,330.57
40,55,330.66,330.58
40,55,330.67,330.59
40,55,330.69,330.61
40,55,330.7,330.62
40,55,330.71,330.63
40,55,330.72,330.64
40,55,330.73,330.65
40,55,330.74,330.66
40,55,330.75,330.67
40,55,330.76,330.68
40,55,330.77,330.69
40,55,330.78,330.7
40,55,330.79,330.71
40,55,330.8,330.71
40,55,330.8,330.72
40,55,330.81,330.73
40,55,330.82,330.74
40,55,330.83,330.75
40,55,330.84,330.75
40,55,330.84,330.76
40,55,330.85,330.77
40,55,330.86,330.78
40,55,330.86,330.78
40,55,330.87,330.79
40,55,330.88,330.79
40,55,330.88,330.8
40,55,330.89,330.81
40,55,330.89,330.81
40,55,330.9,330.82
40,55,330.91,330.82
40,55,330.91,330.83
40,55,330.92,330.83
40,55,330.92,330.84
40,55,330.93,330.84
40,55,330.93,330.85
40,55,330.94,330.85
40,55,330.94,330.86
40,55,330.94,330.86
40,55,330.95,330.87
40,55,330.95,330.87
40,55,330.96,330.87
40,55,330.96,330.88
40,55,330.96,330.88
40,55,330.97,330.89
40,55,330.97,330.89
40,55,330.97,330.89
40,55,330.98,330.9
40,55,330.98,330.9
40,55,330.98,330.9
40,55,330.99,330.91
40,55,330.99,330.91
40,55,330.99,330.91
40,55,331,330.92
40,55,331,330.92
40,55,331,330.92
40,55,331,330.92
40,55,331.01,330.93
40,55,331.01,330.93
40,55,331.01,330.93
40,55,331.01,330.93
40,55,331.02,330.94
40,55,331.02,330.94
40,55,331.02,330.94
40,55,331.02,330.94
40,55,331.03,330.94
40,55,331.03,330.95
40,55,331.03,330.95
40,55,331.03,330.95
40,55,331.03,330.95
40,55,331.03,330.95
40,55,331.04,330.95
40,55,331.04,330.96
40,55,331.04,330.96
40,55,331.04,330.96
40,55,331.04,330.96
40,55,331.04,330.96
40,55,331.05,330.96
40,55,331.05,330.97
40,55,331.05,330.97
40,55,331.05,330.97
