T1,T2
333.19,331.76
333.31,331.65
333.43,331.55
333.53,331.46
333.63,331.37
333.72,331.3
333.79,331.23
333.87,331.18
333.93,331.12
333.99,331.07
334.04,331.03
334.09,330.99
334.14,330.96
334.18,330.93
334.22,330.9
334.25,330.88
334.28,330.85
334.31,330.83
334.34,330.82
334.36,330.8
334.38,330.79
334.41,330.78
334.42,330.77
334.44,330.76
334.46,330.75
334.47,330.74
334.48,330.73
334.5,330.73
334.51,330.72
334.52,330.72
334.53,330.72
334.54,330.71
334.55,330.71
334.55,330.71
334.56,330.71
334.57,330.71
334.57,330.71
334.58,330.7
334.59,330.7
334.59,330.7
334.59,330.7
334.6,330.7
334.6,330.7
334.61,330.7
334.61,330.71
334.61,330.71
334.62,330.71
334.62,330.71
334.17,331.12
333.75,331.49
333.38,331.82
333.04,332.12
332.73,332.4
332.45,332.64
332.19,332.86
331.96,333.06
331.74,333.24
331.55,333.4
331.37,333.54
331.21,333.67
331.07,333.79
330.93,333.89
330.81,333.98
330.7,334.07
330.6,334.14
330.5,334.21
330.42,334.27
330.34,334.32
330.27,334.37
330.2,334.41
330.14,334.44
330.09,334.48
330.04,334.51
329.99,334.53
329.95,334.55
329.91,334.57
329.87,334.59
329.83,334.6
330.26,334.21
330.65,333.85
331,333.52
331.32,333.23
331.61,332.97
331.87,332.73
332.11,332.51
332.33,332.32
332.53,332.15
332.71,331.99
332.87,331.85
333.02,331.72
333.16,331.61
333.28,331.5
333.39,331.41
333.49,331.33
333.59,331.25
333.67,331.18
333.75,331.12
333.82,331.07
333.88,331.02
333.94,330.98
334,330.94
334.05,330.91
334.09,330.87
334.13,330.85
334.17,330.82
334.21,330.8
334.24,330.78
334.27,330.77
334.29,330.75
334.32,330.74
334.34,330.73
334.36,330.72
334.38,330.71
334.4,330.7
334.42,330.69
334.43,330.69
334.45,330.69
334.46,330.68
334.47,330.68
334.48,330.68
334.49,330.67
334.5,330.67
334.51,330.67
334.52,330.67
334.53,330.67
334.54,330.67
334.54,330.67
334.55,330.67
334.56,330.67
334.56,330.67
334.57,330.67
334.57,330.67
334.58,330.67
334.58,330.68
334.59,330.68
334.59,330.68
334.59,330.68
334.6,330.68
334.14,331.09
333.73,331.47
333.36,331.8
333.02,332.1
332.71,332.37
332.43,332.62
332.17,332.84
331.94,333.04
331.73,333.22
331.53,333.38
331.36,333.52
331.2,333.65
331.05,333.77
330.92,333.87
330.79,333.97
330.68,334.05
330.58,334.13
330.49,334.19
330.4,334.25
