H1,H2,H3,H4
21.18,19.659,8.7437,7.1334
20.838,19.45,8.4339,7.043
20.922,19.423,8.7366,7.2443
21.115,19.645,8.7623,7.325
21.328,19.752,8.9367,7.4395
21.242,19.519,8.5338,7.3829
20.771,19.391,8.3793,7.0521
20.363,19.183,8.243,6.6371
20.188,18.784,7.8248,6.498
20.274,18.99,7.9843,6.7346
20.271,19.138,8.1209,6.7228
20.454,19.377,8.4009,6.7419
20.775,19.496,8.7536,6.9457
20.584,19.252,8.46,6.8777
20.503,18.824,8.1499,6.5748
20.249,18.477,7.8126,6.487
20.116,18.197,7.6635,6.2853
20.195,18.264,7.9318,6.4379
20.218,18.492,8.1557,6.6473
19.922,18.3,7.9463,6.395
20.209,18.521,8.1798,6.4703
20.262,18.674,8.4875,6.5825
20.521,18.83,8.6127,6.6133
20.208,18.545,8.2249,6.3147
20.434,18.731,8.3884,6.6487
20.49,18.862,8.3885,6.798
20.659,19.024,8.4074,6.9839
20.168,18.686,8.1025,6.7015
20.279,18.936,8.3492,6.8362
20.503,19.196,8.5212,7.0662
20.645,19.368,8.7042,7.0841
20.514,19.206,8.3208,6.7836
20.601,19.284,8.2581,6.8716
20.067,18.768,8.0548,6.5288
19.672,18.64,7.7298,6.4381
19.945,18.61,8.144,6.6186
20.122,18.726,8.3248,6.773
19.915,18.453,8.0269,6.5648
19.751,18.157,7.6453,6.5846
19.688,18.448,7.8204,6.5709
19.8,18.716,7.9649,6.6749
19.476,18.422,7.6765,6.3777
19.119,18.065,7.5488,6.1303
19.305,18.101,7.8626,6.3123
19.679,18.361,8.1367,6.7078
19.454,18.068,7.9576,6.3287
19.359,17.914,7.7391,6.1074
19.054,17.603,7.5198,5.7791
19.262,17.623,7.6473,6.0026
18.948,17.452,7.5005,5.9606
19.223,17.563,7.7828,6.1252
18.983,17.39,7.6728,6.0917
19.264,17.631,7.9981,6.2935
19.138,17.576,7.8513,6.0536
19.368,17.759,8.2201,6.1395
19.279,17.614,8.0103,5.9523
19.752,17.788,8.0947,6.3527
19.571,17.535,7.6334,6.2856
19.736,17.836,7.8861,6.6547
19.571,17.688,7.5825,6.3568
19.737,17.716,7.8251,6.3306
19.798,17.839,8.2115,6.6933
19.622,17.687,7.9154,6.5623
19.381,17.407,7.8409,6.4313
19.128,17.19,7.2815,6.3203
18.989,16.971,7.3122,6.2799
18.928,16.779,7.2313,6.0255
18.624,16.598,7.1922,5.8433
18.411,16.744,7.0605,5.5626
18.112,16.629,6.8937,5.6576
17.975,16.401,6.7173,5.5376
17.525,16.359,6.7015,5.4688
17.458,16.224,6.7584,5.3884
17.328,15.878,6.7264,5.4066
17.214,15.64,6.5562,5.2937
17.622,15.773,6.9781,5.6081
17.453,15.784,6.8747,5.7165
17.74,16.203,7.3941,5.9259
17.947,16.533,7.6725,6.1609
18.125,16.786,7.8903,6.2509
18.406,17.135,8.0112,6.3134
18.77,17.6,8.4562,6.6543
19.064,18.035,8.6413,6.6052
19.269,18.192,8.7733,6.6959
19.708,18.226,8.8397,6.8367
19.93,18.484,8.8456,7.0315
20.2,18.635,9.064,7.0559
20.467,18.821,9.1162,7.0051
20.688,19.237,9.0996,7.1514
20.514,19.023,8.7417,6.982
20.251,18.644,8.3503,6.7045
19.83,18.501,7.8886,6.4655
19.897,18.709,8.124,6.6471
20.112,18.923,8.1884,6.6449
20.162,19.111,8.2453,6.7259
20.305,19.422,8.3231,6.7642
20.383,19.401,8.336,6.9279
20.431,19.676,8.5722,7.0956
20.516,19.622,8.7713,7.0541
20.678,19.722,8.6795,7.254
20.87,19.802,8.8803,7.2934
21.037,19.891,9.0237,7.3392
21.32,20.024,8.9441,7.5147
21,19.799,8.5593,7.1916
20.976,19.789,8.5529,7.2512
21.107,20.004,8.5926,7.3684
20.8,19.83,8.2686,7.192
20.946,19.948,8.389,7.1778
21.11,20.019,8.767,6.9372
21.379,20.019,8.9649,7.089
21.46,20.302,8.9763,7.2275
21.615,20.5,9.004,7.0598
21.731,20.434,9.1545,7.4
21.795,20.424,9.277,7.3451
22.138,20.528,9.1347,7.4997
22.192,20.442,9.0197,7.628
