U1,U2,H1,H2,H3,H4
167.46,172.6,21.265,19.683,8.7461,6.9961
167.46,172.6,21.388,19.8,8.8656,7.0852
167.46,172.6,21.512,19.916,8.9707,7.1633
167.46,172.6,21.635,20.03,9.0633,7.2317
137.46,138.6,21.757,20.142,9.1448,7.2917
137.46,138.6,21.44,19.832,8.776,7.0149
137.46,138.6,21.113,19.519,8.4517,6.7726
137.46,138.6,20.781,19.206,8.1672,6.5611
137.46,138.6,20.45,18.896,7.9182,6.3767
137.46,138.6,20.122,18.593,7.7008,6.2164
137.46,138.6,19.803,18.299,7.5113,6.0773
137.46,138.6,19.493,18.016,7.3464,5.9567
167.46,172.6,19.196,17.745,7.2031,5.8524
167.46,172.6,19.349,17.906,7.5164,6.0894
167.46,172.6,19.525,18.082,7.789,6.2949
167.46,172.6,19.715,18.266,8.0267,6.4733
167.46,172.6,19.913,18.454,8.2346,6.6286
167.46,172.6,20.115,18.642,8.4165,6.7641
137.46,138.6,20.318,18.83,8.5761,6.8823
167.46,172.6,20.082,18.595,8.2763,6.6568
167.46,172.6,20.271,18.774,8.4531,6.7886
167.46,172.6,20.462,18.951,8.6081,6.9038
167.46,172.6,20.651,19.125,8.7443,7.0044
167.46,172.6,20.836,19.295,8.864,7.0925
167.46,172.6,21.015,19.459,8.9694,7.1697
167.46,172.6,21.189,19.617,9.0621,7.2373
137.46,138.6,21.355,19.768,9.1438,7.2966
167.46,172.6,21.078,19.494,8.7751,7.0192
167.46,172.6,21.223,19.631,8.8911,7.1054
167.46,172.6,21.367,19.765,8.9931,7.181
167.46,172.6,21.507,19.895,9.083,7.2472
167.46,172.6,21.644,20.022,9.1622,7.3053
137.46,138.6,21.776,20.143,9.2321,7.3563
137.46,138.6,21.467,19.841,8.8528,7.0715
167.46,172.6,21.146,19.533,8.5191,6.8221
167.46,172.6,21.254,19.643,8.6662,6.933
167.46,172.6,21.369,19.756,8.7953,7.03
167.46,172.6,21.487,19.869,8.9089,7.1149
167.46,172.6,21.606,19.982,9.0088,7.1893
167.46,172.6,21.724,20.094,9.0968,7.2545
137.46,138.6,21.841,20.202,9.1744,7.3117
137.46,138.6,21.519,19.889,8.802,7.0324
167.46,172.6,21.187,19.573,8.4745,6.788
167.46,172.6,21.286,19.675,8.627,6.9032
167.46,172.6,21.393,19.781,8.7609,7.0039
167.46,172.6,21.504,19.889,8.8786,7.0921
137.46,138.6,21.618,19.997,8.9822,7.1693
167.46,172.6,21.297,19.687,8.6329,6.9077
137.46,138.6,21.403,19.792,8.766,7.0078
167.46,172.6,21.079,19.482,8.4429,6.7665
167.46,172.6,21.185,19.59,8.5992,6.8844
167.46,172.6,21.299,19.701,8.7365,6.9875
167.46,172.6,21.418,19.815,8.8572,7.0777
167.46,172.6,21.538,19.929,8.9633,7.1567
137.46,138.6,21.658,20.041,9.0567,7.2259
167.46,172.6,21.341,19.733,8.6985,6.9573
137.46,138.6,21.45,19.84,8.8237,7.0512
167.46,172.6,21.128,19.531,8.4936,6.8044
167.46,172.6,21.235,19.638,8.6437,6.9175
167.46,172.6,21.349,19.75,8.7756,7.0165
137.46,138.6,21.467,19.862,8.8915,7.1031
137.46,138.6,21.15,19.556,8.5532,6.8497
137.46,138.6,20.827,19.249,8.2561,6.6283
137.46,138.6,20.501,18.943,7.996,6.4353
167.46,172.6,20.178,18.643,7.7687,6.2674
167.46,172.6,20.297,18.77,8.009,6.4494
167.46,172.6,20.433,18.906,8.2191,6.6078
167.46,172.6,20.58,19.049,8.403,6.7459
137.46,138.6,20.733,19.195,8.5642,6.8664
137.46,138.6,20.453,18.924,8.2658,6.6429
137.46,138.6,20.167,18.651,8.0045,6.448
137.46,138.6,19.879,18.381,7.7761,6.2784
167.46,172.6,19.594,18.115,7.5769,6.1311
167.46,172.6,19.751,18.276,7.8417,6.331
137.46,138.6,19.924,18.445,8.0728,6.5047
167.46,172.6,19.67,18.201,7.8357,6.3277
167.46,172.6,19.85,18.378,8.0676,6.5019
167.46,172.6,20.039,18.559,8.2703,6.6536
137.46,138.6,20.232,18.74,8.4479,6.7858
167.46,172.6,19.991,18.503,8.1639,6.5726
167.46,172.6,20.177,18.68,8.3546,6.7152
167.46,172.6,20.365,18.858,8.5218,6.8396
137.46,138.6,20.554,19.033,8.6684,6.9483
167.46,172.6,20.305,18.787,8.3573,6.7144
167.46,172.6,20.481,18.954,8.5241,6.839
167.46,172.6,20.658,19.121,8.6705,6.9477
137.46,138.6,20.834,19.284,8.7991,7.0429
167.46,172.6,20.571,19.026,8.472,6.7971
137.46,138.6,20.733,19.18,8.6247,6.9112
137.46,138.6,20.46,18.916,8.3189,6.682
167.46,172.6,20.18,18.648,8.051,6.4821
167.46,172.6,20.332,18.801,8.2558,6.6363
137.46,138.6,20.494,18.957,8.4351,6.7707
137.46,138.6,20.223,18.697,8.1527,6.5594
167.46,172.6,19.948,18.436,7.9055,6.3753
167.46,172.6,20.107,18.595,8.1286,6.5433
137.46,138.6,20.277,18.76,8.3237,6.6896
137.46,138.6,20.016,18.509,8.0551,6.4887
167.46,172.6,19.75,18.257,7.8203,6.3138
167.46,172.6,19.92,18.426,8.0541,6.4898
137.46,138.6,20.101,18.601,8.2585,6.643
137.46,138.6,19.85,18.359,7.9981,6.4481
137.46,138.6,19.595,18.117,7.7705,6.2784
167.46,172.6,19.339,17.877,7.572,6.1311
137.46,138.6,19.522,18.06,7.8375,6.331
167.46,172.6,19.282,17.833,7.6304,6.1767
