H1,H2
20.739,19.531
21.028,19.531
20.854,19.01
21.29,19.443
21.354,19.414
20.957,19.402
21.488,19.295
21.615,19.744
21.278,19.504
21.079,19.126
21.03,19.524
20.942,19.028
20.611,18.765
20.842,18.898
20.699,19.328
21.245,18.944
20.861,18.715
20.12,18.179
20.528,18.615
20.439,18.325
20.137,18.264
20.492,18.138
20.329,17.843
20.157,18.187
19.515,18.217
19.845,17.625
19.886,17.975
19.567,17.815
19.653,18.457
19.56,18.775
19.492,18.167
19.381,18.442
19.13,18.201
18.964,18.062
19.367,18.413
19.176,18.062
18.66,17.921
18.907,17.535
18.579,17.222
19.179,17.217
18.537,17.281
18.311,16.84
18.042,16.739
18.365,17.209
18.03,17.088
17.78,17.035
17.25,17.033
17.634,17.24
17.655,17.165
17.491,16.851
17.809,17.355
18.16,17.685
18.555,17.553
18.336,17.72
18.135,17.265
18.636,17.316
18.821,17.834
18.774,17.683
18.394,17.622
18.729,17.616
19.156,17.832
18.725,17.452
18.66,17.314
18.864,17.358
18.697,17.306
18.892,17.431
18.762,17.484
18.755,17.817
19.292,17.834
19.081,17.481
19.164,17.488
18.883,17.679
19.248,17.992
18.981,18.177
19.194,18.549
19.099,18.102
19.61,18.279
18.788,17.898
18.973,17.692
18.508,17.704
19.057,17.78
18.317,17.755
18.366,17.412
18.252,17.27
18.021,17.156
17.886,16.837
17.475,16.738
17.288,16.515
17.127,15.901
17.198,15.779
16.975,15.587
17.258,15.66
17.471,15.867
17.415,16.152
17.432,16.051
17.276,15.91
17.729,16.308
18.044,16.607
18.363,16.629
18.559,16.758
18.926,17.487
18.936,17.39
19.506,17.901
19.446,18.229
19.718,18.444
20.034,18.706
19.916,18.775
20.094,18.623
20.228,18.585
20.571,18.77
20.272,18.838
20.372,19.159
20.354,19.221
20.51,19.297
20.448,19.045
20.699,19.395
20.829,19.908
21.428,20.166
21.576,19.969
21.67,20.544
21.324,19.518
21.09,19.695
20.929,19.2
20.987,19.045
20.483,18.564
20.278,18.2
20.409,18.609
20.529,18.793
20.776,19.135
21.038,19.204
21.023,19.294
21.069,19.685
21.262,19.762
21.541,19.747
21.346,19.461
21.189,19.722
21.51,19.536
21.449,19.627
21.456,19.913
21.679,19.789
21.441,19.609
21.309,19.505
21.155,19.857
21.398,19.87
21.597,19.872
