H1,H2,H3,H4
18.332,16.964,7.2535,5.9577
18.745,17.182,7.6167,6.1688
19.002,17.37,7.8782,6.3401
18.694,17.239,7.6218,6.194
18.742,16.973,7.5209,6.0229
19.024,17.285,7.8076,6.2552
18.988,17.339,7.6577,6.1853
18.708,17.039,7.4478,6.0068
18.954,17.327,7.7328,6.2365
18.914,17.229,7.5922,6.1185
18.827,17.033,7.4581,5.9844
18.74,16.949,7.344,5.9063
18.46,16.751,7.1789,5.7995
18.606,16.97,7.4662,6.0318
18.641,17.149,7.6711,6.2166
18.545,16.89,7.5098,6.0408
18.696,17.276,7.7452,6.2929
18.402,17.164,7.5049,6.1584
18.735,17.486,7.7989,6.3771
18.483,17.126,7.5654,6.15
18.285,17.065,7.3808,6.0532
18.663,17.241,7.7079,6.2366
18.59,17.237,7.5492,6.1481
18.258,16.756,7.325,5.9103
18.723,17.083,7.691,6.1605
19.054,17.286,7.9647,6.3353
19.49,17.57,8.2408,6.5143
19.274,17.417,7.973,6.3372
19.571,17.72,8.2079,6.5271
19.263,17.667,7.917,6.3873
19.001,17.345,7.6791,6.1773
18.709,16.856,7.4612,5.9345
18.458,16.792,7.2847,5.8664
18.363,16.736,7.1847,5.811
18.624,16.747,7.5078,5.9676
18.667,16.757,7.4228,5.9152
18.389,16.73,7.242,5.8593
18.532,16.924,7.5149,6.0716
18.359,16.845,7.3496,5.9754
18.573,16.892,7.6276,6.1207
18.873,17.293,7.8955,6.3636
18.541,17.218,7.6235,6.2298
18.38,17.002,7.4441,6.0689
18.029,16.875,7.2234,5.9595
18.273,17.223,7.521,6.2126
18.583,17.608,7.7994,6.4454
18.749,17.956,7.9928,6.6383
19.062,18.357,8.2107,6.8277
18.944,18.443,7.966,6.7048
18.993,18.232,7.8157,6.5047
19.177,18.53,8.0274,6.6917
19.065,18.393,7.8199,6.5222
18.9,18.059,7.6251,6.309
18.52,17.986,7.3818,6.2129
18.769,18.001,7.6727,6.3429
18.497,17.615,7.4544,6.1296
18.75,17.749,7.7329,6.3033
18.786,17.936,7.8981,6.4701
18.769,17.855,7.7306,6.3382
18.858,18.094,7.9153,6.5205
19.15,18.416,8.143,6.7081
19.289,18.541,8.2905,6.8071
19.156,18.199,8.0359,6.5479
19.456,18.593,8.2572,6.7598
19.112,18.327,7.9411,6.5361
18.913,18.094,7.7153,6.3534
19.455,18.212,8.0671,6.499
19.559,18.277,8.2258,6.6054
19.301,18.164,7.9485,6.4507
19.048,17.919,7.7096,6.273
18.714,17.615,7.4738,6.0974
19.009,18.086,7.7721,6.3956
18.755,17.894,7.5521,6.2433
18.686,17.562,7.4255,6.0625
18.654,17.865,7.6157,6.3054
19.088,17.924,7.9358,6.4316
19.052,17.818,7.7667,6.2969
18.746,17.976,7.5316,6.2741
18.67,17.54,7.4056,6.0546
18.955,17.728,7.7103,6.258
18.78,17.448,7.5266,6.0872
18.974,17.611,7.7828,6.2732
18.48,17.148,7.4769,6.0324
18.636,17.52,7.7171,6.2903
19.056,17.898,8.0139,6.5178
18.908,17.662,7.7917,6.3227
