H1,H2,H3,H4
21.45,19.84,8.8237,7.0512
21.128,19.531,8.4936,6.8044
21.235,19.638,8.6437,6.9175
21.349,19.75,8.7756,7.0165
21.467,19.862,8.8915,7.1031
21.15,19.556,8.5532,6.8497
20.827,19.249,8.2561,6.6283
20.501,18.943,7.996,6.4353
20.178,18.643,7.7687,6.2674
20.297,18.77,8.009,6.4494
20.433,18.906,8.2191,6.6078
20.58,19.049,8.403,6.7459
20.733,19.195,8.5642,6.8664
20.453,18.924,8.2658,6.6429
20.167,18.651,8.0045,6.448
19.879,18.381,7.7761,6.2784
19.594,18.115,7.5769,6.1311
19.751,18.276,7.8417,6.331
19.924,18.445,8.0728,6.5047
19.67,18.201,7.8357,6.3277
19.85,18.378,8.0676,6.5019
20.039,18.559,8.2703,6.6536
20.232,18.74,8.4479,6.7858
19.991,18.503,8.1639,6.5726
20.177,18.68,8.3546,6.7152
20.365,18.858,8.5218,6.8396
20.554,19.033,8.6684,6.9483
20.305,18.787,8.3573,6.7144
20.481,18.954,8.5241,6.839
20.658,19.121,8.6705,6.9477
20.834,19.284,8.7991,7.0429
20.571,19.026,8.472,6.7971
20.733,19.18,8.6247,6.9112
20.46,18.916,8.3189,6.682
20.18,18.648,8.051,6.4821
20.332,18.801,8.2558,6.6363
20.494,18.957,8.4351,6.7707
20.223,18.697,8.1527,6.5594
19.948,18.436,7.9055,6.3753
20.107,18.595,8.1286,6.5433
20.277,18.76,8.3237,6.6896
20.016,18.509,8.0551,6.4887
19.75,18.257,7.8203,6.3138
19.92,18.426,8.0541,6.4898
20.101,18.601,8.2585,6.643
19.85,18.359,7.9981,6.4481
19.595,18.117,7.7705,6.2784
19.339,17.877,7.572,6.1311
19.522,18.06,7.8375,6.331
19.282,17.833,7.6304,6.1767
19.479,18.026,7.8883,6.3707
19.249,17.807,7.6747,6.2112
19.455,18.007,7.927,6.4006
19.233,17.793,7.7085,6.2372
19.444,17.998,7.9565,6.4232
19.226,17.788,7.7342,6.2568
19.441,17.995,7.9789,6.4402
19.227,17.788,7.7538,6.2716
19.444,17.997,7.996,6.4531
19.231,17.791,7.7687,6.2828
19.449,18.002,8.009,6.4628
19.674,18.214,8.2191,6.6195
19.463,18.007,7.9636,6.4276
19.245,17.796,7.7404,6.2607
19.022,17.586,7.5458,6.1157
18.8,17.377,7.3764,5.99
18.58,17.174,7.2291,5.8811
18.366,16.976,7.1014,5.787
18.158,16.787,6.9906,5.7058
17.96,16.606,6.8947,5.6357
17.771,16.434,6.8118,5.5753
17.592,16.271,6.7402,5.5233
17.423,16.119,6.6783,5.4785
17.266,15.976,6.6249,5.44
17.119,15.843,6.5789,5.4069
17.419,16.137,6.9756,5.7048
17.3,16.022,6.8817,5.6349
17.618,16.328,7.2375,5.9014
17.946,16.637,7.5463,6.1318
18.276,16.944,7.815,6.3317
18.602,17.244,8.0495,6.5053
18.921,17.536,8.2545,6.6566
19.23,17.818,8.434,6.7884
19.527,18.087,8.5914,6.9036
19.81,18.344,8.7296,7.0043
20.08,18.589,8.8511,7.0924
20.336,18.82,8.958,7.1696
20.578,19.038,9.0521,7.2372
20.805,19.244,9.1349,7.2965
20.583,19.019,8.7673,7.0191
20.343,18.783,8.444,6.7763
20.089,18.54,8.1605,6.5643
20.264,18.712,8.3516,6.7079
20.444,18.886,8.5192,6.8333
20.624,19.058,8.6662,6.9428
20.803,19.227,8.7953,7.0386
20.978,19.391,8.9089,7.1224
21.148,19.55,9.0088,7.1959
21.313,19.702,9.0969,7.2603
21.47,19.848,9.1744,7.3168
21.621,19.986,9.2428,7.3663
21.764,20.118,9.3032,7.4099
21.899,20.242,9.3564,7.4481
21.592,19.942,8.9624,7.1521
21.706,20.053,9.0559,7.2219
21.82,20.161,9.1384,7.2831
21.496,19.849,8.7703,7.0073
21.598,19.951,8.8869,7.0951
21.704,20.054,8.9894,7.1719
21.81,20.157,9.0798,7.2392
21.916,20.258,9.1594,7.2983
22.02,20.356,9.2296,7.3501
22.122,20.452,9.2915,7.3957
22.22,20.544,9.3461,7.4356
22.315,20.632,9.3943,7.4707
22.406,20.716,9.4369,7.5016
22.493,20.797,9.4745,7.5287
22.14,20.454,9.0665,7.2228
21.776,20.108,8.707,6.9546
21.843,20.18,8.8313,7.0489
21.481,19.838,8.5002,6.8023
21.118,19.498,8.2097,6.587
21.193,19.583,8.3948,6.7277
21.283,19.677,8.557,6.8506
21.382,19.776,8.6994,6.9579
21.488,19.879,8.8245,7.0518
21.597,19.984,8.9346,7.134
21.708,20.089,9.0315,7.206
21.818,20.192,9.1168,7.2692
21.928,20.293,9.192,7.3246
22.034,20.392,9.2583,7.3732
21.703,20.069,8.8759,7.0863
21.796,20.16,8.9798,7.1643
21.457,19.834,8.6308,6.9033
21.111,19.507,8.3242,6.6751
21.201,19.601,8.4951,6.8046
20.865,19.284,8.2053,6.589
20.966,19.389,8.3909,6.7295
21.078,19.501,8.5536,6.8521
21.197,19.617,8.6964,6.9592
21.321,19.735,8.8219,7.053
21.447,19.854,8.9323,7.135
21.573,19.97,9.0294,7.2069
21.696,20.085,9.115,7.27
21.818,20.196,9.1904,7.3253
21.5,19.886,8.8161,7.0443
21.171,19.571,8.4869,6.7983
20.838,19.256,8.1981,6.5835
20.94,19.363,8.3846,6.7247
20.618,19.058,8.1084,6.5193
20.297,18.757,7.8669,6.3404
19.979,18.463,7.656,6.1849
20.106,18.597,7.9107,6.3777
20.249,18.741,8.1331,6.5454
20.405,18.892,8.3276,6.6915
20.567,19.047,8.4981,6.8189
20.732,19.202,8.6477,6.9302
20.898,19.356,8.7791,7.0276
21.061,19.506,8.8946,7.1128
20.786,19.235,8.5559,6.8582
20.936,19.377,8.6984,6.9646
21.086,19.518,8.8237,7.0577
20.801,19.24,8.4935,6.81
20.506,18.957,8.2039,6.5937
20.643,19.094,8.3896,6.7336
20.788,19.234,8.5525,6.8557
20.501,18.958,8.2556,6.6335
20.645,19.099,8.4349,6.7683
20.795,19.243,8.5922,6.886
20.948,19.388,8.7303,6.9889
21.101,19.531,8.8517,7.0789
21.252,19.671,8.9585,7.1578
21.4,19.808,9.0525,7.2269
21.109,19.522,8.6948,6.9581
20.806,19.231,8.3804,6.723
20.933,19.357,8.5443,6.8464
20.631,19.068,8.2484,6.6255
20.76,19.198,8.4287,6.7613
20.462,18.913,8.147,6.5512
20.597,19.049,8.3399,6.6965
20.305,18.771,8.0693,6.4947
20.011,18.494,7.8327,6.319
20.155,18.641,8.0649,6.4943
20.312,18.796,8.268,6.6469
20.477,18.954,8.4458,6.78
20.645,19.113,8.6018,6.8963
20.815,19.271,8.7387,6.9979
20.547,19.009,8.419,6.7577
20.705,19.16,8.5782,6.8768
20.43,18.893,8.2781,6.652
20.148,18.625,8.0152,6.4559
19.863,18.358,7.7855,6.2852
19.581,18.095,7.585,6.137
19.304,17.84,7.4105,6.0084
19.035,17.593,7.2588,5.8971
19.212,17.774,7.5648,6.1281
18.972,17.549,7.3929,6.0008
19.172,17.748,7.6814,6.218
19.386,17.955,7.9329,6.4065
19.608,18.165,8.1525,6.5704
19.832,18.375,8.3446,6.7133
19.62,18.164,8.0735,6.5093
19.398,17.948,7.8363,6.3317
19.171,17.731,7.6294,6.1774
19.379,17.935,7.8875,6.3712
19.596,18.142,8.1128,6.5397
19.817,18.35,8.3099,6.6865
20.038,18.556,8.4825,6.8146
20.256,18.757,8.634,6.9264
20.034,18.535,8.3271,6.6953
19.798,18.306,8.0581,6.4937
19.556,18.075,7.8229,6.3181
19.746,18.262,8.0564,6.4935
19.945,18.453,8.2605,6.6463
20.147,18.644,8.4393,6.7794
19.913,18.415,8.1563,6.567
20.106,18.6,8.348,6.7103
20.301,18.785,8.516,6.8354
20.06,18.549,8.2235,6.6158
